,date,close,open,low,high,3m_iv,short_interest_rate
0,2006-02-07,125.48,126.3,125.4,126.66,,
1,2006-02-08,126.62,125.88,125.6,126.78,,
2,2006-02-09,126.41,126.85,126.37,127.6,,
3,2006-02-10,126.64,126.42,125.45,127.13,,
4,2006-02-13,126.41,126.57,125.95,126.79,,
5,2006-02-14,127.75,126.46,126.19,128.03,,
6,2006-02-15,128.2,127.68,127.24,128.32,,1.707
7,2006-02-16,129.16,128.2,128.18,129.21,,
8,2006-02-17,128.81,129.09,128.58,129.16,,
9,2006-02-21,128.49,129.12,128.29,129.4,,
10,2006-02-22,129.27,128.77,128.65,129.65,,
11,2006-02-23,129.08,129.27,128.28,129.64,,
12,2006-02-24,129.41,129.08,128.76,129.48,,
13,2006-02-27,129.46,129.4,129.28,130.04,,
14,2006-02-28,128.23,129.5,128.13,129.91,,
15,2006-03-01,129.37,128.67,128.5,129.49,,
16,2006-03-02,129.36,128.9,128.61,129.42,,
17,2006-03-03,128.76,128.7,128.65,130.07,,
18,2006-03-06,128.17,129.07,127.85,129.18,,
19,2006-03-07,127.97,127.81,127.4,128.06,,
20,2006-03-08,128.24,127.64,127.18,128.44,,
21,2006-03-09,127.38,128.271,127.38,128.68,,
22,2006-03-10,128.59,127.79,127.44,128.84,,
23,2006-03-13,128.83,128.84,128.53,129.16,,
24,2006-03-14,130.18,128.77,128.61,130.23,,
25,2006-03-15,130.76,130.15,129.85,130.86,,2.16
26,2006-03-16,131.03,130.9,130.84,131.47,,
27,2006-03-17,130.62,130.68,130.38,130.9,,
28,2006-03-20,130.41,130.68,130.21,130.9,,
29,2006-03-21,129.59,130.19,129.45,130.99,,
30,2006-03-22,130.38,129.51,129.45,130.51,,
31,2006-03-23,130.11,130.24,129.66,130.3935,,
32,2006-03-24,130.21,129.99,129.74,130.57,,
33,2006-03-27,130.02,130.03,129.74,130.28,,
34,2006-03-28,129.22,129.93,129.05,130.53,,
35,2006-03-29,130.03,129.48,129.29,130.5,,
36,2006-03-30,129.8,130.11,129.55,130.98,,
37,2006-03-31,129.83,130.02,129.37,130.24,,
38,2006-04-03,129.73,130.07,129.49,130.87,,
39,2006-04-04,130.56,129.72,129.36,130.73,,
40,2006-04-05,131.01,130.61,130.38,131.28,,
41,2006-04-06,130.87,130.85,130.19,131.21,,
42,2006-04-07,129.54,131.06,129.35,131.4,,
43,2006-04-10,129.74,129.71,129.26,130.08,,
44,2006-04-11,128.64,129.85,128.25,130.06,,
45,2006-04-12,128.88,128.77,128.61,129.13,,
46,2006-04-13,128.71,128.59,128.31,129.25,,2.115
47,2006-04-17,128.66,128.79,128.02,129.31,,
48,2006-04-18,130.7,128.95,128.84,130.94,,
49,2006-04-19,130.95,130.72,130.24,131.07,,
50,2006-04-20,131.13,131.0,130.6,131.86,,
51,2006-04-21,131.15,131.73,130.62,131.79,,
52,2006-04-24,130.91,130.93,130.38,131.07,,
53,2006-04-25,130.37,131.04,129.92,131.12,,
